feature,gain,fold
D8_D9_decimal_dist,473,1
D3_DT_D_min_max,481,1
D3_DT_D_std_score,708,1
D4_DT_D_min_max,661,1
D4_DT_D_std_score,2194,1
D5_DT_D_min_max,288,1
D5_DT_D_std_score,493,1
D6_DT_D_min_max,124,1
D6_DT_D_std_score,929,1
D7_DT_D_min_max,50,1
D7_DT_D_std_score,330,1
D8_DT_D_min_max,481,1
D8_DT_D_std_score,2512,1
D10_DT_D_min_max,543,1
D10_DT_D_std_score,2473,1
D11_DT_D_min_max,253,1
D11_DT_D_std_score,1143,1
D12_DT_D_min_max,106,1
D12_DT_D_std_score,785,1
D13_DT_D_min_max,152,1
D13_DT_D_std_score,1134,1
D14_DT_D_min_max,170,1
D14_DT_D_std_score,966,1
D15_DT_D_min_max,942,1
D15_DT_D_std_score,2688,1
D3_DT_W_min_max,421,1
D3_DT_W_std_score,543,1
D4_DT_W_min_max,468,1
D4_DT_W_std_score,1472,1
D5_DT_W_min_max,283,1
D5_DT_W_std_score,391,1
D6_DT_W_min_max,68,1
D6_DT_W_std_score,411,1
D7_DT_W_min_max,45,1
D7_DT_W_std_score,100,1
D8_DT_W_min_max,382,1
D8_DT_W_std_score,1319,1
D10_DT_W_min_max,616,1
D10_DT_W_std_score,1570,1
D11_DT_W_min_max,203,1
D11_DT_W_std_score,764,1
D12_DT_W_min_max,75,1
D12_DT_W_std_score,452,1
D13_DT_W_min_max,117,1
D13_DT_W_std_score,637,1
D14_DT_W_min_max,125,1
D14_DT_W_std_score,570,1
D15_DT_W_min_max,806,1
D15_DT_W_std_score,1798,1
D3_DT_M_min_max,394,1
D3_DT_M_std_score,414,1
D4_DT_M_min_max,423,1
D4_DT_M_std_score,759,1
D5_DT_M_min_max,176,1
D5_DT_M_std_score,223,1
D6_DT_M_min_max,70,1
D6_DT_M_std_score,159,1
D7_DT_M_min_max,47,1
D7_DT_M_std_score,48,1
D8_DT_M_min_max,434,1
D8_DT_M_std_score,696,1
D10_DT_M_min_max,430,1
D10_DT_M_std_score,840,1
D11_DT_M_min_max,172,1
D11_DT_M_std_score,462,1
D12_DT_M_min_max,45,1
D12_DT_M_std_score,155,1
D13_DT_M_min_max,40,1
D13_DT_M_std_score,258,1
D14_DT_M_min_max,56,1
D14_DT_M_std_score,255,1
D15_DT_M_min_max,602,1
D15_DT_M_std_score,1057,1
D1_scaled,1177,1
D2_scaled,1976,1
TransactionAmt_check,52,1
card1_TransactionAmt_mean,1345,1
card1_TransactionAmt_std,1438,1
card2_TransactionAmt_mean,1511,1
card2_TransactionAmt_std,1482,1
card3_TransactionAmt_mean,91,1
card3_TransactionAmt_std,32,1
card5_TransactionAmt_mean,328,1
card5_TransactionAmt_std,292,1
uid_TransactionAmt_mean,628,1
uid_TransactionAmt_std,681,1
uid2_TransactionAmt_mean,714,1
uid2_TransactionAmt_std,831,1
uid3_TransactionAmt_mean,1525,1
uid3_TransactionAmt_std,1904,1
uid4_TransactionAmt_mean,2010,1
uid4_TransactionAmt_std,2777,1
uid5_TransactionAmt_mean,1665,1
uid5_TransactionAmt_std,1975,1
bank_type_TransactionAmt_mean,107,1
bank_type_TransactionAmt_std,97,1
TransactionAmt_DT_D_min_max,2092,1
TransactionAmt_DT_D_std_score,2224,1
TransactionAmt_DT_W_min_max,1876,1
