feature,gain,fold
f000__C1__fq_enc,2909,3
f000__C2__fq_enc,2217,3
f000__C3__fq_enc,123,3
f000__C4__fq_enc,270,3
f000__C5__fq_enc,1050,3
f000__C6__fq_enc,2354,3
f000__C7__fq_enc,117,3
f000__C8__fq_enc,440,3
f000__C9__fq_enc,1855,3
f000__C10__fq_enc,369,3
f000__C11__fq_enc,2008,3
f000__C12__fq_enc,415,3
f000__C13__fq_enc,4403,3
f000__C14__fq_enc,3095,3
f000__D1__fq_enc,3517,3
f000__D2__fq_enc,4396,3
f000__D3__fq_enc,2562,3
f000__D4__fq_enc,4929,3
f000__D5__fq_enc,2493,3
f000__D6__fq_enc,983,3
f000__D7__fq_enc,380,3
f000__D8__fq_enc,3218,3
f000__D9__fq_enc,2375,3
f000__addr1__fq_enc,17405,3
f000__addr2__fq_enc,101,3
f000__dist1__fq_enc,5458,3
f000__dist2__fq_enc,2707,3
f000__P_emaildomain__fq_enc,8662,3
f000__R_emaildomain__fq_enc,2766,3
f000__ProductCD__target_mean,736,3
f000__M4__target_mean,1583,3
TransactionAmt,21430,4
ProductCD,884,4
card1,27256,4
card2,18493,4
card3,1053,4
card4,2337,4
card5,6715,4
card6,2463,4
addr1,18048,4
addr2,133,4
dist1,7949,4
dist2,2749,4
P_emaildomain,5847,4
R_emaildomain,1644,4
C1,4051,4
C2,3394,4
C3,145,4
C4,380,4
C5,1440,4
C6,2890,4
C7,201,4
C8,835,4
C9,2304,4
C10,766,4
C11,2756,4
C12,933,4
C13,7097,4
C14,3261,4
D1,5211,4
D2,6114,4
D3,3102,4
D4,6922,4
D5,3049,4
D6,1087,4
D7,420,4
D8,4826,4
D9,2202,4
D10,7696,4
D11,5841,4
D12,1213,4
D13,1167,4
D14,2259,4
D15,11355,4
M1,91,4
M2,760,4
M3,1400,4
M4,3507,4
M5,3510,4
M6,3475,4
M7,1415,4
M8,1391,4
M9,1351,4
V1,11,4
V2,145,4
V3,312,4
V4,589,4
V5,765,4
V6,263,4
V7,367,4
V8,78,4
V9,138,4
V10,395,4
V11,323,4
V12,982,4
V13,1000,4
V14,4,4
V15,89,4
V16,47,4
V17,56,4
V18,48,4
V19,706,4
V20,901,4
V21,32,4
V22,39,4
V23,412,4
V24,523,4
V25,284,4
V26,258,4
V27,0,4
V28,0,4
V29,503,4
V30,398,4
V31,22,4
V32,25,4
V33,144,4
V34,243,4
V35,1094,4
V36,991,4
V37,618,4
V38,1090,4
V39,175,4
V40,197,4
V41,0,4
V42,99,4
V43,231,4
V44,817,4
V45,1287,4
V46,169,4
V47,415,4
V48,545,4
V49,519,4
V50,56,4
V51,286,4
V52,349,4
V53,1194,4
V54,1103,4
V55,501,4
V56,650,4
V57,96,4
V58,334,4
V59,110,4
V60,224,4
V61,1020,4
V62,1332,4
V63,122,4
V64,219,4
V65,0,4
V66,480,4
V67,669,4
V68,0,4
V69,366,4
V70,560,4
V71,27,4
V72,100,4
V73,174,4
V74,290,4
V75,1232,4
V76,1248,4
V77,721,4
V78,1138,4
V79,256,4
V80,141,4
V81,377,4
V82,1378,4
V83,1520,4
V84,38,4
V85,191,4
V86,731,4
V87,1293,4
V88,2,4
V89,1,4
V90,538,4
V91,506,4
V92,43,4
V93,111,4
V94,330,4
V95,90,4
V96,434,4
V97,88,4
V98,40,4
V99,502,4
V100,75,4
V101,48,4
V102,176,4
V103,41,4
V104,17,4
V105,95,4
V106,20,4
V107,0,4
V108,10,4
V109,62,4
V110,24,4
V111,25,4
V112,33,4
V113,3,4
V114,4,4
V115,125,4
V116,40,4
V117,0,4
V118,1,4
V119,0,4
V120,0,4
V121,6,4
V122,2,4
V123,86,4
V124,382,4
V125,110,4
V126,663,4
V127,1436,4
V128,740,4
V129,668,4
V130,1634,4
V131,953,4
V132,251,4
V133,602,4
V134,225,4
V135,223,4
V136,717,4
V137,230,4
V138,3,4
V139,369,4
V140,178,4
V141,23,4
V142,9,4
V143,308,4
V144,116,4
V145,205,4
V146,70,4
V147,74,4
V148,38,4
V149,354,4
V150,173,4
V151,117,4
V152,403,4
V153,12,4
V154,28,4
V155,23,4
V156,204,4
V157,25,4
V158,55,4
V159,153,4
V160,428,4
V161,85,4
V162,182,4
V163,56,4
V164,273,4
V165,750,4
V166,207,4
V167,38,4
V168,80,4
V169,300,4
V170,184,4
V171,134,4
