feature,gain,fold
f201__id_10_CE,120,2
f201__id_11_CE,191,2
f201__id_12_CE,50,2
f201__id_13_CE,1590,2
f201__id_14_CE,940,2
f201__id_15_CE,557,2
f201__id_16_CE,485,2
f201__id_17_CE,173,2
f201__id_18_CE,1146,2
f201__id_19_CE,4692,2
f201__id_20_CE,5624,2
f201__id_21_CE,34,2
f201__id_22_CE,14,2
f201__id_23_CE,18,2
f201__id_24_CE,20,2
f201__id_25_CE,22,2
f201__id_26_CE,34,2
f201__id_27_CE,9,2
f201__id_28_CE,233,2
f201__id_29_CE,208,2
f201__id_30_CE,2012,2
f201__id_31_CE,4016,2
f201__id_32_CE,274,2
f201__id_33_CE,2439,2
f201__id_34_CE,270,2
f201__id_35_CE,33,2
f201__id_36_CE,29,2
f201__id_37_CE,243,2
f201__id_38_CE,510,2
TransactionAmt,19311,3
ProductCD,309,3
card1,5787,3
card2,21360,3
card3,1111,3
card4,262,3
card5,8806,3
card6,319,3
addr1,18111,3
addr2,379,3
dist1,13170,3
P_emaildomain,2273,3
R_emaildomain,1123,3
C1,1573,3
C2,1699,3
C4,389,3
C5,658,3
C6,1419,3
C7,247,3
C8,465,3
C9,1286,3
C10,459,3
C11,1458,3
C12,443,3
C13,2964,3
C14,1335,3
D1,9529,3
D2,10301,3
D3,6181,3
D4,11922,3
D5,6757,3
D6,2218,3
D8,6387,3
D9,4248,3
D10,12107,3
D11,6099,3
D12,2545,3
D13,1130,3
D14,1948,3
D15,14910,3
M2,1678,3
M3,1859,3
M4,3198,3
M5,3300,3
M6,3126,3
M7,1571,3
M8,1633,3
M9,1544,3
V3,893,3
V4,1121,3
V5,1342,3
V6,378,3
V7,874,3
V8,261,3
V9,400,3
V10,503,3
V11,611,3
V12,1757,3
V13,1713,3
V17,251,3
V19,1554,3
V20,1915,3
V29,662,3
V30,746,3
V33,415,3
V34,452,3
V35,2384,3
V36,2384,3
V37,1533,3
V38,2136,3
V40,734,3
V44,1503,3
V45,2117,3
V46,555,3
V47,939,3
V48,975,3
V49,1191,3
V51,713,3
V52,1004,3
V53,1880,3
V54,1903,3
V56,1226,3
V58,368,3
V59,249,3
V60,358,3
V61,1575,3
V62,1839,3
V63,244,3
V64,352,3
V69,749,3
V70,791,3
V71,216,3
V72,331,3
V73,416,3
V74,651,3
V75,2122,3
V76,2552,3
V78,1988,3
V80,266,3
V81,413,3
V82,2087,3
V83,2248,3
V84,261,3
V85,380,3
V87,1794,3
V90,838,3
V91,1044,3
V92,245,3
V93,393,3
V94,330,3
V95,444,3
V96,2380,3
V97,955,3
V99,1908,3
V100,641,3
V126,2009,3
V127,5514,3
V128,2678,3
V130,4594,3
V131,2311,3
V138,32,3
V139,664,3
V140,539,3
V143,567,3
V145,459,3
V146,179,3
V147,222,3
V149,532,3
V150,548,3
V151,358,3
V152,551,3
V154,323,3
V156,429,3
V158,320,3
V159,420,3
V160,764,3
V161,207,3
V162,223,3
V163,200,3
V164,621,3
V165,898,3
V166,599,3
V167,238,3
V169,166,3
V170,527,3
V171,517,3
V172,100,3
V173,85,3
V175,150,3
V176,217,3
V177,190,3
V178,354,3
V180,209,3
V182,207,3
V184,122,3
V187,430,3
V188,273,3
V189,408,3
V195,71,3
V197,106,3
V200,300,3
V201,428,3
V202,764,3
V203,1290,3
V204,770,3
V205,294,3
V206,227,3
V207,531,3
V208,507,3
V209,685,3
V210,506,3
V212,627,3
V213,446,3
V214,372,3
V215,507,3
V216,482,3
V217,420,3
V219,451,3
V220,170,3
V221,871,3
V222,930,3
V223,232,3
V224,385,3
V225,270,3
V226,179,3
V227,186,3
V228,285,3
V229,554,3
V231,295,3
V233,388,3
V234,438,3
V238,173,3
V239,204,3
V242,178,3
V243,294,3
V244,215,3
V245,549,3
V246,215,3
V247,58,3
V249,97,3
V251,365,3
V253,267,3
V256,327,3
V257,394,3
V258,560,3
V259,505,3
V261,637,3
V262,392,3
V263,957,3
V264,1847,3
V265,1295,3
V266,438,3
V267,834,3
V268,638,3
V270,584,3
V271,488,3
V272,533,3
V273,542,3
V274,879,3
V275,627,3
V276,426,3
V277,806,3
V278,513,3
V279,898,3
V280,1431,3
V282,2237,3
V283,2191,3
V285,3017,3
V287,906,3
V288,590,3
V289,943,3
V291,1599,3
V292,710,3
V294,1697,3
V303,201,3
V304,140,3
V306,3006,3
V307,7334,3
V308,4375,3
V310,7059,3
V312,3720,3
V313,4665,3
V314,4374,3
V315,5295,3
V317,3354,3
V322,228,3
V323,444,3
V324,259,3
V326,153,3
V329,172,3
V331,366,3
V332,652,3
V333,412,3
V335,328,3
V336,204,3
V338,248,3
id_01,2728,3
id_02,8699,3
id_03,741,3
id_05,2978,3
id_06,3247,3
id_09,854,3
id_11,452,3
id_12,193,3
id_13,3176,3
id_14,1453,3
id_15,945,3
id_17,553,3
id_19,6027,3
id_20,6221,3
id_30,1075,3
id_31,1822,3
id_32,617,3
id_33,948,3
id_36,155,3
id_37,720,3
id_38,1466,3
DeviceType,1013,3
DeviceInfo,1167,3
f201__DeviceInfo_CE,3440,3
f201__DeviceType_CE,557,3
f201__M1_CE,67,3
f201__M2_CE,893,3
f201__M3_CE,1184,3
f201__M4_CE,2192,3
f201__M5_CE,2203,3
f201__M6_CE,2330,3
f201__M7_CE,694,3
f201__M8_CE,648,3
f201__M9_CE,692,3
f201__P_emaildomain_CE,8284,3
f201__ProductCD_CE,1258,3
f201__R_emaildomain_CE,3786,3
f201__addr1_CE,17101,3
f201__addr2_CE,176,3
f201__card4_CE,2631,3
f201__card6_CE,1425,3
f201__id_01_CE,2101,3
f201__id_03_CE,351,3
f201__id_04_CE,111,3
f201__id_05_CE,2028,3
f201__id_06_CE,2255,3
f201__id_07_CE,120,3
f201__id_08_CE,123,3
f201__id_09_CE,427,3
f201__id_10_CE,131,3
f201__id_11_CE,324,3
f201__id_12_CE,75,3
f201__id_13_CE,1681,3
f201__id_14_CE,1048,3
f201__id_15_CE,498,3
f201__id_16_CE,474,3
f201__id_17_CE,226,3
f201__id_18_CE,1281,3
f201__id_19_CE,4914,3
f201__id_20_CE,5476,3
f201__id_21_CE,100,3
f201__id_22_CE,27,3
f201__id_23_CE,36,3
f201__id_24_CE,45,3
f201__id_25_CE,87,3
f201__id_26_CE,61,3
f201__id_27_CE,20,3
f201__id_28_CE,177,3
f201__id_29_CE,224,3
f201__id_30_CE,2103,3
f201__id_31_CE,4713,3
f201__id_32_CE,315,3
f201__id_33_CE,2552,3
f201__id_34_CE,348,3
f201__id_35_CE,51,3
f201__id_36_CE,57,3
f201__id_37_CE,292,3
f201__id_38_CE,909,3
TransactionAmt,24063,4
ProductCD,425,4
card1,9428,4
card2,26216,4
card3,1725,4
card4,466,4
card5,11287,4
card6,415,4
addr1,24119,4
addr2,485,4
dist1,17099,4
P_emaildomain,3538,4
R_emaildomain,1596,4
C1,2774,4
C2,2852,4
C4,480,4
C5,1132,4
C6,2359,4
C7,326,4
C8,741,4
C9,2132,4
C10,855,4
C11,2366,4
C12,628,4
C13,5011,4
C14,2174,4
D1,12916,4
D2,13850,4
D3,7645,4
D4,15385,4
D5,8310,4
D6,3053,4
D8,8191,4
D9,5510,4
D10,15346,4
D11,9968,4
D12,3398,4
D13,1694,4
D14,2643,4
D15,20494,4
M2,2029,4
M3,2549,4
M4,4219,4
M5,4344,4
M6,3960,4
M7,2377,4
M8,2913,4
M9,2632,4
V3,1300,4
V4,1853,4
V5,2034,4
V6,721,4
V7,1206,4
V8,384,4
V9,577,4
V10,867,4
V11,1021,4
V12,2122,4
V13,2222,4
V17,282,4
V19,2111,4
V20,2588,4
V29,962,4
V30,1119,4
V33,580,4
V34,740,4
V35,3045,4
V36,3097,4
V37,1771,4
V38,2792,4
V40,946,4
V44,2015,4
V45,2805,4
V46,716,4
V47,1275,4
V48,1382,4
V49,1669,4
V51,1045,4
V52,1353,4
V53,2519,4
V54,2612,4
V56,1682,4
V58,550,4
V59,323,4
V60,478,4
V61,2103,4
V62,2559,4
V63,386,4
V64,477,4
V69,1164,4
V70,1053,4
V71,319,4
V72,451,4
V73,702,4
V74,987,4
V75,2948,4
V76,3214,4
V78,2587,4
V80,423,4
V81,684,4
V82,2764,4
V83,2965,4
V84,372,4
V85,541,4
V87,2601,4
V90,1223,4
V91,1388,4
V92,339,4
V93,517,4
V94,604,4
V95,612,4
V96,2668,4
V97,1135,4
V99,2392,4
V100,739,4
V126,2529,4
V127,6514,4
V128,3421,4
V130,5941,4
V131,2997,4
V138,41,4
V139,782,4
V140,701,4
V143,610,4
V145,574,4
V146,202,4
V147,255,4
V149,597,4
V150,644,4
V151,411,4
V152,709,4
V154,347,4
V156,468,4
V158,382,4
V159,542,4
V160,945,4
V161,258,4
V162,261,4
V163,248,4
V164,739,4
V165,1129,4
V166,658,4
V167,294,4
V169,231,4
V170,591,4
V171,593,4
V172,138,4
V173,95,4
V175,250,4
V176,276,4
V177,238,4
V178,426,4
V180,291,4
V182,251,4
V184,142,4
V187,581,4
V188,331,4
V189,544,4
V195,101,4
V197,140,4
V200,463,4
V201,556,4
V202,989,4
V203,1616,4
V204,1093,4
V205,458,4
V206,353,4
V207,763,4
V208,797,4
V209,1004,4
V210,790,4
V212,851,4
V213,611,4
V214,462,4
V215,642,4
V216,611,4
V217,563,4
V219,566,4
V220,305,4
V221,1037,4
V222,1105,4
V223,277,4
V224,584,4
V225,290,4
V226,245,4
V227,225,4
V228,420,4
V229,725,4
V231,347,4
V233,457,4
V234,559,4
V238,208,4
V239,236,4
V242,248,4
V243,412,4
V244,270,4
V245,782,4
V246,246,4
V247,73,4
V249,103,4
V251,501,4
V253,311,4
V256,434,4
V257,559,4
V258,676,4
V259,649,4
V261,720,4
V262,582,4
V263,1076,4
V264,2253,4
V265,1545,4
V266,762,4
V267,1297,4
V268,938,4
V270,739,4
V271,766,4
V272,724,4
V273,654,4
V274,1135,4
V275,831,4
V276,653,4
V277,1049,4
V278,729,4
V279,1082,4
V280,1826,4
V282,3163,4
V283,3243,4
V285,3530,4
V287,1077,4
V288,906,4
V289,1182,4
V291,2110,4
V292,1036,4
V294,2123,4
V303,317,4
V304,185,4
V306,3438,4
V307,9052,4
V308,5650,4
V310,9171,4
V312,4902,4
V313,6834,4
V314,5834,4
V315,7144,4
V317,4047,4
V322,250,4
V323,613,4
V324,337,4
V326,198,4
V329,182,4
V331,405,4
V332,729,4
V333,452,4
V335,356,4
V336,225,4
V338,333,4
id_01,3548,4
id_02,10281,4
id_03,915,4
id_05,3499,4
id_06,4201,4
id_09,1018,4
id_11,509,4
id_12,189,4
id_13,4028,4
id_14,1773,4
id_15,1050,4
id_17,743,4
id_19,7622,4
id_20,8023,4
id_30,1612,4
id_31,2806,4
id_32,671,4
id_33,1454,4
id_36,213,4
id_37,717,4
id_38,1829,4
DeviceType,1215,4
DeviceInfo,1969,4
f201__DeviceInfo_CE,4560,4
f201__DeviceType_CE,692,4
f201__M1_CE,86,4
f201__M2_CE,1208,4
f201__M3_CE,1748,4
f201__M4_CE,2985,4
f201__M5_CE,2884,4
f201__M6_CE,2960,4
f201__M7_CE,1066,4
f201__M8_CE,1317,4
f201__M9_CE,1110,4
f201__P_emaildomain_CE,10489,4
f201__ProductCD_CE,1358,4
f201__R_emaildomain_CE,4441,4
f201__addr1_CE,22019,4
f201__addr2_CE,257,4
f201__card4_CE,3245,4
f201__card6_CE,1708,4
f201__id_01_CE,2592,4
f201__id_03_CE,508,4
f201__id_04_CE,174,4
f201__id_05_CE,2703,4
f201__id_06_CE,2729,4
f201__id_07_CE,164,4
f201__id_08_CE,156,4
f201__id_09_CE,481,4
f201__id_10_CE,170,4
f201__id_11_CE,427,4
f201__id_12_CE,105,4
f201__id_13_CE,2277,4
f201__id_14_CE,1264,4
f201__id_15_CE,547,4
f201__id_16_CE,476,4
f201__id_17_CE,333,4
f201__id_18_CE,1514,4
f201__id_19_CE,6093,4
f201__id_20_CE,6115,4
f201__id_21_CE,149,4
f201__id_22_CE,38,4
f201__id_23_CE,39,4
f201__id_24_CE,71,4
f201__id_25_CE,93,4
f201__id_26_CE,107,4
f201__id_27_CE,19,4
f201__id_28_CE,190,4
f201__id_29_CE,207,4
f201__id_30_CE,2407,4
f201__id_31_CE,6057,4
f201__id_32_CE,323,4
f201__id_33_CE,2954,4
f201__id_34_CE,348,4
f201__id_35_CE,43,4
f201__id_36_CE,73,4
f201__id_37_CE,371,4
f201__id_38_CE,1141,4
TransactionAmt,27323,5
ProductCD,493,5
card1,13955,5
card2,29513,5
card3,2151,5
card4,638,5
card5,13037,5
card6,500,5
addr1,27698,5
addr2,594,5
dist1,20551,5
P_emaildomain,5183,5
R_emaildomain,2012,5
C1,3927,5
C2,3830,5
C4,681,5
C5,1671,5
C6,3262,5
C7,410,5
C8,1042,5
C9,2813,5
C10,1264,5
C11,3179,5
C12,917,5
C13,6566,5
C14,2977,5
D1,16180,5
D2,16531,5
D3,9014,5
D4,18275,5
D5,9872,5
D6,4027,5
D8,9754,5
D9,5861,5
D10,17646,5
D11,13068,5
D12,3964,5
D13,2158,5
D14,3299,5
D15,23534,5
M2,2380,5
M3,2966,5
M4,5231,5
M5,5010,5
M6,4308,5
M7,2982,5
M8,3757,5
M9,3280,5
V3,1703,5
V4,2313,5
V5,2534,5
V6,881,5
V7,1491,5
V8,565,5
V9,779,5
V10,1151,5
V11,1470,5
V12,2635,5
V13,2901,5
V17,345,5
V19,2674,5
V20,3202,5
V29,1322,5
V30,1383,5
V33,746,5
V34,945,5
V35,3623,5
V36,3506,5
V37,2240,5
V38,3330,5
V40,1155,5
V44,2362,5
V45,3308,5
V46,793,5
V47,1595,5
V48,1748,5
V49,2081,5
V51,1251,5
V52,1562,5
V53,3023,5
V54,2932,5
V56,2000,5
V58,750,5
V59,442,5
V60,622,5
V61,2618,5
V62,3270,5
V63,472,5
V64,635,5
V69,1445,5
V70,1405,5
V71,421,5
V72,588,5
V73,841,5
V74,1240,5
V75,3372,5
V76,3814,5
V78,3383,5
V80,573,5
V81,899,5
V82,3178,5
V83,3702,5
V84,410,5
V85,750,5
V87,3182,5
V90,1622,5
V91,1847,5
V92,482,5
V93,664,5
V94,809,5
V95,712,5
V96,3143,5
V97,1287,5
V99,2741,5
V100,822,5
V126,2935,5
V127,7077,5
V128,3896,5
V130,6656,5
V131,3617,5
V138,45,5
V139,982,5
V140,755,5
V143,629,5
V145,695,5
V146,233,5
V147,244,5
V149,737,5
V150,761,5
V151,384,5
V152,749,5
V154,385,5
V156,578,5
V158,466,5
V159,547,5
V160,1047,5
V161,294,5
V162,338,5
V163,272,5
V164,770,5
V165,1266,5
V166,666,5
V167,270,5
V169,395,5
V170,791,5
V171,711,5
